temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
9.4,-6.42,-8.3,43.57,0.0,0.0,0.0,0.0,6.73,29.3,15.0,274.0,1018.6,0.0,9.9,6.027831641382457,0.0,0.0,0.0
9.2,-6.76,-8.6,43.39,0.0,0.0,0.0,0.0,6.7,28.0,14.0,286.0,1019.1,0.0,9.9,6.02805976959051,0.0,0.0,0.0
9.2,-7.1,-9.3,41.81,0.0,0.0,0.0,0.0,6.67,25.5,14.1,281.0,1019.5,0.0,9.9,6.028287897798563,0.0,0.0,0.0
9.1,-7.4,-9.342857142857143,45.08,0.0,0.0,0.0,0.0,6.65,27.0,14.3,273.0,1020.3,0.0,9.9,6.028516026006615,0.0,0.0,0.0
8.3,-2.0,-9.385714285714286,53.57,0.0,0.0,0.0,0.0,6.62,24.2,6.0,308.0,1020.9,10.5,9.9,6.028744154214668,0.0,0.0,0.0
8.1,-9.0,-9.428571428571429,53.57,0.0,0.0,0.0,0.0,6.59,25.6,14.9,272.0,1021.1,24.3,9.9,6.028972282422721,0.0,0.0,0.0
8.3,-6.8,-9.471428571428572,51.69,0.0,0.0,0.0,0.0,6.57,29.3,11.6,277.0,1021.7,15.6,9.9,6.029200410630774,0.0,0.0,0.0
9.0,-7.3,-9.514285714285714,50.82,0.0,0.0,0.0,0.21,6.78,25.5,13.9,274.0,1022.8,36.4,9.9,6.029428538838827,0.0,0.0,0.0
9.6,-8.6,-9.557142857142855,45.1,0.0,0.0,0.0,0.0,6.76,27.7,18.2,290.0,1023.4,15.6,9.9,6.02965666704688,0.0,0.0,0.0
10.8,-7.2,-9.6,38.51,0.0,0.0,0.0,0.0,6.75,27.6,18.6,286.0,1023.6,10.5,9.9,6.029884795254933,0.0,0.0,0.0
11.7,-4.9,-10.8,34.87,0.0,0.0,0.0,0.0,6.73,26.7,16.0,290.0,1023.1,10.5,9.9,6.030112923462986,0.0,0.0,0.0
12.5,-4.1,-10.8,33.71,0.0,0.0,0.0,0.0,6.71,28.5,16.4,290.0,1022.6,10.5,9.9,6.030341051671039,0.0,0.0,0.0
12.7,-2.4,-10.1,34.51,0.0,0.0,0.0,0.0,6.69,29.1,13.6,298.0,1023.0,10.5,9.9,6.030569179879092,0.0,0.0,0.0
