Time Stamp,Time Zone,Name,PTID,Load
2020-10-21 00:00:00,EDT,GENESE,61753,910.6845
2020-10-21 00:00:00,EDT,DUNWOD,61760,482.154
2020-10-21 00:00:00,EDT,CENTRL,61754,1479.1119
2020-10-21 00:00:00,EDT,HUD VL,61758,811.922
2020-10-21 01:00:00,EDT,DUNWOD,61760,470.1661
2020-10-21 01:00:00,EDT,GENESE,61753,884.0616
2020-10-21 01:00:00,EDT,HUD VL,61758,782.0314
2020-10-21 01:00:00,EDT,LONGIL,61762,1633.0052
2020-10-21 01:00:00,EDT,MHK VL,61756,690.6693
2020-10-21 01:00:00,EDT,MILLWD,61759,234.7632
2020-10-21 01:00:00,EDT,NORTH,61755,519.4537
2020-10-21 01:00:00,EDT,N.Y.C.,61761,4198.0327
2020-10-21 01:00:00,EDT,WEST,61752,1421.5735
2020-10-21 01:00:00,EDT,CAPITL,61757,1134.6406
2020-10-21 01:00:00,EDT,CENTRL,61754,1417.2609
2020-10-21 02:00:00,EDT,CAPITL,61757,1111.6086
2020-10-21 02:00:00,EDT,CENTRL,61754,1402.5128
2020-10-21 02:00:00,EDT,DUNWOD,61760,457.4841
2020-10-21 02:00:00,EDT,GENESE,61753,872.9717
2020-10-21 02:00:00,EDT,HUD VL,61758,733.4896
2020-10-21 02:00:00,EDT,LONGIL,61762,1578.8269
2020-10-21 02:00:00,EDT,MHK VL,61756,682.3541
2020-10-21 02:00:00,EDT,MILLWD,61759,226.8299
2020-10-21 02:00:00,EDT,N.Y.C.,61761,4072.9407
2020-10-21 02:00:00,EDT,NORTH,61755,504.6274
2020-10-21 02:00:00,EDT,WEST,61752,1389.3428
2020-10-21 03:00:00,EDT,WEST,61752,1382.6938
2020-10-21 03:00:00,EDT,NORTH,61755,510.5495
2020-10-21 03:00:00,EDT,N.Y.C.,61761,3984.5293
2020-10-21 03:00:00,EDT,MHK VL,61756,666.3763
2020-10-21 03:00:00,EDT,MILLWD,61759,215.6933
2020-10-21 03:00:00,EDT,LONGIL,61762,1524.7532
2020-10-21 03:00:00,EDT,GENESE,61753,857.4387
2020-10-21 03:00:00,EDT,DUNWOD,61760,426.5202
2020-10-21 03:00:00,EDT,CENTRL,61754,1383.154
2020-10-21 03:00:00,EDT,CAPITL,61757,1074.6647
2020-10-21 03:00:00,EDT,HUD VL,61758,722.1676
2020-10-21 04:00:00,EDT,NORTH,61755,514.4988
2020-10-21 04:00:00,EDT,N.Y.C.,61761,3947.5354
2020-10-21 04:00:00,EDT,MILLWD,61759,225.4763
2020-10-21 04:00:00,EDT,MHK VL,61756,661.23
2020-10-21 04:00:00,EDT,LONGIL,61762,1516.3704
